Child_ID,Name,Age,Location,Latitude,Longitude,Country,Gift_Preference,Listened_To_Parents,School_Grades,Good_Deed,Bad_Deed
1,Roman,12,Ban Pa Sak,16.8477,100.2563,Thailand,Door Basketball Hoop,0.7212554696303841,67.80363236039743,Volunteered at thrift store,Damaged school awards
2,Yui,5,The Nation / La Nation,45.35,-75.0333,Canada,Rhythm Tambourine,0.669234655014196,,Picked up trash at playground,
3,Kento,9,Mealhada,40.3833,-8.45,Portugal,School House Pack,0.8636556409065349,65.15401054944545,Organized school outdoor equipment,Stole school materials
4,Irina,5,Lower Pottsgrove,40.2537,-75.5975,United States,Wireless Headphones,0.7014396601912711,,Helped set up band challenge,
5,Corina,10,Bayugan,8.71,125.75,Philippines,Rocket Building Set,0.7996721702119811,61.74003122637358,Helped parent with dishes,Stole school materials
6,Calliope,11,Castel Volturno,41.05,13.9167,Italy,Beauty Salon Set,0.8687171930257886,72.52142340081052,Made birthday cards for classmates,Damaged school awards
7,Anamaria,7,Zdzieszowice,50.4192,18.1236,Poland,Music Mixing Set,0.7763644479572058,,Helped organize writing center,Cheated in tournament
8,Ileana,9,Tortolì,39.9333,9.65,Italy,Cooking Master Kit,0.5132765373032739,84.73260630788455,Made cards for librarians,Lied about occurrences
9,Feng,5,Svobodnyy,51.4,128.1,Russia,Performance Microphone,0.523516211761852,,Picked up trash at bus stop,
10,Hui,12,Paraibuna,-23.3861,-45.6622,Brazil,Diamond Dig Set,0.6141001345837611,91.23396794414074,Helped parent with organizing toys,Stole school supplies
11,Athena,10,Los Alamos,35.8927,-106.2862,United States,Geology Rock Collection,0.650657671936964,65.78428883381315,Helped parent with sorting mail,Cheated in race
12,Hyun-woo,12,Tocaima,4.5,-74.6667,Colombia,Playing Card Set,0.6186546229338779,88.52037866176796,Picked up trash at field,Damaged school medals
13,Noah,10,Santa Barbara,16.0031,120.4008,Philippines,Digital Microscope,0.8095960798278591,60.0,Helped parent with organizing supplies,Stole from backpacks
14,Aaradhya,11,Zamalkā,33.5253,36.3528,Syria,Play-Doh Creative Studio,0.510749118225646,84.07683240582455,Made cards for scout leaders,Falsified report card
15,Min-jun,10,Qādiān,31.8192,75.3764,India,Fossil Hunting Pack,0.7954726801422314,84.19802027349145,Organized school spirit gear,Lied about others
16,Hassan,10,Jiamusi,46.8,130.319,China,Marble Run Supreme,0.6769149970996213,75.41544774467978,Helped organize art room,Lied about situations
17,Folami,11,Marib,15.4606,45.3261,Yemen,Pottery Wheel Studio,0.6574739166293343,60.0,Made cards for photography teachers,Bullied school assistant
18,Adam,8,Sidi Abdellah Ben Taazizt,34.0019,-5.3695,Morocco,LED Light Sneakers,0.8338478198694793,79.59708807155471,Organized school outdoor equipment,Stole school supplies
19,Solomon,11,San José Tenango,18.15,-96.7333,Mexico,Music Production Set,0.9924095657368309,81.66178628005846,Shared toys with friends,Bullied hall monitor
20,Xia,8,Chavuttahalli,12.4202,78.2352,India,Trivia Game Set,0.6290529330191706,72.09227577865286,Helped set up theater challenge,Stole gym equipment
21,Aoi,5,Burton upon Trent,52.8019,-1.6367,United Kingdom,String Viola,0.9052748372310189,,Volunteered at community center,
22,Roya,10,Corby,52.4877,-0.7013,United Kingdom,French Horn,0.4377047198771614,72.02715240129433,Helped decorate classroom,Stole school materials
23,Folami,7,Quyang,26.5755,109.7008,China,Professional Golf Set,0.6626586534568771,,Made cards for counselors,Cheated in performance
24,Advait,6,Kwale,-4.1744,39.4603,Kenya,Ancient Life Set,0.49640879335332966,,Made cards for veterans,Cheated in project
25,Ekaterina,7,Zschopau,50.75,13.0667,Germany,Meditation Set,0.7437711552422445,,Made cards for school nurse,Left mess in common area
26,Jason,11,Lānjī,21.5018,80.5406,India,Gourmet Play Kitchen,0.8437865348588259,67.49162288627853,Picked up trash at baseball field,Vandalized school facility
27,Sofia,8,Mühlhausen,49.2475,8.7239,Germany,Hot Dog Stand,0.5152546035316966,89.39051457690107,Helped organize costume archive,Stole school supplies
